Ticker,Nome,Settore,Tipo,Valuta,MarketCap,PE_Trailing,PE_Forward,PEG,PriceToBook,EV_EBITDA,EBITDA,ProfitMargin,ROE,ROA,DebtToEquity,DividendYield,Beta,High52w,Low52w,EPS,RevenueGrowth,LastUpdated
ASML,ASML Holding N.V. - New York Re,Technology,EQUITY,USD,652317032448.0,57.511005,28.224884,1.54,1427.3237,2687.354,13488400384.0,0.30114,0.53942,0.16454001,9.092,0.54,1.363,1999.96,806.3,29.53,0.213,2026-09-11 23:59 UTC
ATO,Atmos Energy Corporation,Utilities,EQUITY,USD,27577243648.0,19.450537,18.09537,2.01,1.8073584,14.244,2624299008.0,0.28496,0.09792,0.03893,67.662,2.43,0.594,192.51,160.1,8.39,0.048,2026-09-11 23:59 UTC
AVGO,Broadcom Inc.,Technology,EQUITY,USD,1728006324224.0,46.231163,18.674767,0.36,17.335026,33.715,52058001408.0,0.42944,0.44245,0.15297,59.604,0.71,1.457,495.0,289.96,7.83,0.855,2026-09-11 23:59 UTC
AXP,American Express Company,Financial Services,EQUITY,USD,219266351104.0,19.702065,16.102922,1.3,6.3934236,,,0.16141,0.34377,0.037920002,172.38,1.18,1.048,387.49,290.97,16.48,0.128,2026-09-11 23:59 UTC
BA,Boeing Company (The),Industrials,EQUITY,USD,166333366272.0,75.43011,51.449986,1.48,27.274494,-67.387,-2900000000.0,0.025910001,1.73537,-0.01984,790.875,,1.213,254.35,176.77,2.79,0.08,2026-09-11 23:59 UTC
BABA,Alibaba Group Holding Limited,Consumer Cyclical,EQUITY,USD,271678668800.0,24.728508,11.769765,0.51,1.6321005,2.285,99512999936.0,0.07039,0.0636,0.015620001,26.319,0.97,0.5,192.67,91.99,4.42,0.086,2026-09-11 23:59 UTC
BAC,Bank of America Corporation,Financial Services,EQUITY,USD,438375383040.0,14.47806,11.841551,0.95,1.5934625,,,0.29524,0.111990005,0.00969,,2.05,1.164,65.23,46.12,4.33,0.168,2026-09-11 23:59 UTC
BHP,BHP Group Limited,Basic Materials,EQUITY,USD,221489709056.0,22.57772,18.608116,5.95,4.347067,7.913,29902999552.0,0.16734,0.24002,0.13434,50.473,4.53,0.85,98.71,51.83,3.86,0.183,2026-09-11 23:59 UTC
BIDU,"Baidu, Inc.",Communication Services,EQUITY,USD,31205832704.0,,11.809452,0.82,0.76625586,0.044,23396999168.0,-0.02895,-0.0139,0.01195,38.258,,0.569,165.3,89.6,-2.34,-0.042,2026-09-11 23:59 UTC
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,EQUITY,USD,9874942976.0,44.92944,36.82903,4.01,1.3765035,21.83,441000000.0,0.085889995,0.0311,0.01663,19.103,,1.07,396.23,236.73,8.22,-0.001,2026-09-11 23:59 UTC
BLK,"BlackRock, Inc.",Financial Services,EQUITY,USD,175417425920.0,25.85988,16.788149,0.9,2.904596,15.766,11116000256.0,0.24089001,0.122779995,0.03737,23.192,2.16,1.429,1219.94,917.39,41.75,0.306,2026-09-11 23:59 UTC
BNTX,BioNTech SE,Healthcare,EQUITY,USD,24298999808.0,,-17.001669,0.05,1.1762685,-8.076,-1380800000.0,-0.63638,-0.09300999,-0.0541,1.78,,1.293,124.0,79.52,-7.8,-0.595,2026-09-11 23:59 UTC
BP,BP p.l.c.,Energy,EQUITY,USD,118726148096.0,22.057417,9.392751,0.06,8.165072,13.534,39197999104.0,0.02549,0.08868,0.05037,95.123,4.38,-0.22,48.27,32.72,2.09,0.482,2026-09-11 23:59 UTC
CAT,"Caterpillar, Inc.",Industrials,EQUITY,USD,376276058112.0,35.313633,25.28219,1.41,19.400612,25.182,16250999808.0,0.14511,0.56972003,0.090299994,232.783,0.81,1.594,1073.46,427.75,23.18,0.24,2026-09-11 23:59 UTC
CDNS,"Cadence Design Systems, Inc.",Technology,EQUITY,USD,79690465280.0,57.41468,30.315063,2.15,11.620352,36.918,2155915008.0,0.23605,0.23229,0.10613,38.661,,1.137,416.69,262.75,5.04,0.242,2026-09-11 23:59 UTC
CGNX,Cognex Corporation,Technology,EQUITY,USD,10803335168.0,61.750004,31.726114,2.71,6.6295033,37.568,267406000.0,0.16051,0.111490004,0.07126,4.448,0.55,1.49,72.88,34.6,1.04,0.169,2026-09-11 23:59 UTC
CIB,Grupo Cibest S.A.,Financial Services,EQUITY,USD,24098326528.0,10.0730505,8.792572,0.43,0.0022984839,,,0.17572,0.19218999,0.021289999,,3.88,0.424,105.6,50.72,10.13,0.26,2026-09-11 23:59 UTC
CL,Colgate-Palmolive Company,Consumer Defensive,EQUITY,USD,69194604544.0,34.17323,21.129402,1.6,293.24326,15.238,4983000064.0,0.096829996,2.67367,0.15838,1388.163,2.41,0.323,99.33,74.55,2.54,0.049,2026-09-11 23:59 UTC
CME,CME Group Inc.,Financial Services,EQUITY,USD,99078471680.0,23.370653,21.316528,4.78,3.732795,20.989,4771100160.0,0.63443,0.15802,0.01481,14.587,1.9,0.275,329.16,218.31,11.79,0.008,2026-09-11 23:59 UTC
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,EQUITY,USD,25762549760.0,23.279762,18.742514,1.77,2.1980555,12.961,3854000128.0,0.11611,0.09825,0.029979998,210.256,2.45,0.451,45.26,37.22,1.68,0.107,2026-09-11 23:59 UTC
COP,ConocoPhillips,Energy,EQUITY,USD,165003706368.0,18.16799,14.169802,1.23,2.5249555,6.744,26780000256.0,0.144,0.1418,0.07533,35.639,2.45,0.134,138.89,85.57,7.56,0.355,2026-09-11 23:59 UTC
COST,Costco Wholesale Corporation,Consumer Defensive,EQUITY,USD,401246322688.0,45.580353,39.9842,4.42,24.270884,28.98,13790000128.0,0.0301,0.29152,0.086660005,60.257,0.65,0.855,1096.5,844.06,19.85,0.215,2026-09-11 23:59 UTC
CRM,"Salesforce, Inc.",Technology,EQUITY,USD,203873566720.0,22.705774,15.474599,0.9,5.312232,17.905,12899000320.0,0.2199,0.19381,0.05704,110.417,0.72,1.202,269.11,146.32,10.91,0.108,2026-09-11 23:59 UTC
CRSP,CRISPR Therapeutics AG,Healthcare,EQUITY,USD,5000944128.0,,-14.788467,,2.862361,-6.767,-513174016.0,0.0,-0.26095,-0.14204,44.874,,1.76,78.48,44.12,-4.71,10.414,2026-09-11 23:59 UTC
CRWD,"CrowdStrike Holdings, Inc.",Technology,EQUITY,USD,211688292352.0,5168.5005,128.85011,6.65,41.489067,1942.078,106861000.0,0.00834,0.01461,-0.0078100003,15.958,,1.255,233.88,85.68,0.04,0.258,2026-09-11 23:59 UTC
CVX,Chevron Corporation,Energy,EQUITY,USD,419900817408.0,20.62235,15.889441,0.94,2.2113636,8.913,50661998592.0,0.09834,0.12231,0.05861,18.959,3.33,0.491,217.4,146.49,10.38,0.535,2026-09-11 23:59 UTC
CW,Curtiss-Wright Corporation,Industrials,EQUITY,USD,20642662400.0,38.412373,32.61538,2.0,7.451901,25.282,843086016.0,0.14811,0.19746,0.08494,41.482,0.19,0.845,808.16,490.66,14.55,0.054,2026-09-11 23:59 UTC
DDOG,"Datadog, Inc.",Technology,EQUITY,USD,79430983680.0,433.74512,74.438126,1.14,18.18264,915.672,82897000.0,0.044770002,0.04696,0.0018000001,29.259,,1.488,292.72,98.01,0.51,0.356,2026-09-11 23:59 UTC
DE,Deere & Company,Industrials,EQUITY,USD,182196666368.0,37.603786,29.787348,1.57,6.5093293,25.796,8600000512.0,0.10168,0.18242,0.03759,376.022,0.96,0.911,705.88,433.0,17.97,-0.111,2026-09-11 23:59 UTC
DUK,Duke Energy Corporation (Holdin,Utilities,EQUITY,USD,93112033280.0,17.98494,16.650122,2.24,1.7320802,11.295,16616999936.0,0.15995,0.098570004,0.028369999,162.155,3.64,0.364,134.49,113.9,6.64,0.011,2026-09-11 23:59 UTC
EMR,Emerson Electric Company,Industrials,EQUITY,USD,84891582464.0,33.301968,21.0074,1.73,4.1655946,15.582,6057999872.0,0.13828,0.128,0.068969995,67.677,1.5,1.233,166.35,122.64,4.57,0.07,2026-09-11 23:59 UTC
EOG,"EOG Resources, Inc.",Energy,EQUITY,USD,77294624768.0,11.476635,10.121351,1.38,2.4302394,5.567,14494999552.0,0.25733,0.22507,0.11017,25.891,2.77,0.272,153.67,101.59,12.84,0.587,2026-09-11 23:59 UTC
ETN,"Eaton Corporation, PLC",Industrials,EQUITY,USD,165213700096.0,43.3167,26.366879,2.52,8.157133,28.0,6639000064.0,0.12752,0.19684,0.07052,105.059,1.08,1.168,478.0,311.92,9.82,0.214,2026-09-11 23:59 UTC
EXC,Exelon Corporation,Utilities,EQUITY,USD,44465762304.0,15.867647,14.205312,2.35,1.5001738,11.42,8354999808.0,0.10989001,0.09711,0.028110001,177.362,3.87,0.389,50.65,42.58,2.72,0.099,2026-09-11 23:59 UTC
FANUY,Fanuc Corporation,Industrials,EQUITY,USD,35105202176.0,32.568966,28.194029,2.41,2.8668265,-2.921,242942492672.0,0.20131999,0.10049,0.060700003,,1.81,0.925,27.54,14.0,0.58,0.177,2026-09-11 23:59 UTC
FCX,"Freeport-McMoRan, Inc.",Basic Materials,EQUITY,USD,102057762816.0,34.838234,17.185846,4.45,5.0753407,12.607,9553999872.0,0.113850005,0.14755,0.07585,32.149,0.84,1.401,80.24,35.15,2.04,-0.073,2026-09-11 23:59 UTC
